Asin,UserName,Rating,Subject,ReviewDate,Review,feedback
B008IFXQFU,Midhun Pankaj,5,INR 499 well spent !,Reviewed in India on 17 November 2018,"It's almost 2019, and I still have no idea why most desktops don't come with builtin WiFi chips. But since that ain't the case, and quality matters, TP Link was definitely the way to go, and so I did. Works like a charm, and was just plug and play on my Windows 10 PC. Blazingly fast, and is working fine on my 100mbps fibre internet connection. If you don't have WiFi on your PC, don't even have second thoughts. Just go for it.",1
B008IFXQFU,Divya Kothari,4,"Great Design, Build, Connectivity Range, Packaging and other features but no linux support since v2",Reviewed in India on 11 November 2018,"(Pictures attached)Size/Design:  ★ ★ ★ ★ ★Build Quality: ★ ★ ★ ★ ★Packaging:  ★ ★ ★ ★ ★Software:  ★ ★ ★ ★Speed:  ★ ★ ★ ★ ★Connectivity:  ★ ★ ★ ★ ★Experience:  ★ ★ ★ ★ ★Warranty:  ★ ★ ★ ★ ★Size and Design:The best part about this is that it is very compact in size and very sober and elegant in design. This is a big plus as it is easy plug in and use, add to it the good sober design.Build Quality:The build quality is undoubtedly superb. Just no qualms about that, at all. When held, it doesnt give off that cheap and flimsy product-like feeling. It is good sturdy with its build quality.Packaging:This part is also a big plus as the item was well cushioned and packaged with all the necessary items that ensured that no damage could have been caused to the product during transportation. This ensures that I as a customer have received something not damaged internally already.Software:This is actually good but not great part with the product.The good part is that a CD has been provided with it along with a manual.The not great part is that NO LINUX SUPPORT has been given from Version 2 onwards. This is bad, really.Speed:It easily supports net speeds upto 300 Mbps. Practically speaking, I have tested it at my home and it easily supports net speed of over 100-150 Mbps without a sigh.On testing I found that it did connect to 5GHz network, without any issue.Connectivity:Please mark its not feet its metres. Multiply metres x 3 to get the distance in feet.It easily connects to my laptop or phone from 7 metres across one room. So thats 21 feet. I mean even our old bluetooth used to connect to about 15 ft.So 20-25 feet is not at all an issue with this. This is the big plus I found with the product.Experience:From this point of view, so far except the linux non-compatibility issue, I found no other flaws with this product.So overall its a great product.Warranty:Its 3 years so I am assured that atleast for 3 years I am tension-free and not just 1 year, contrary to most electronic items today that only provide 1 year warranty with their items.",1
B008IFXQFU,Himanshu Mishra ,3,not compatible with kali,Reviewed in India on 20 December 2017,"even though its a new version of TL-WN722N it is not compatible with kali also it doesn't have atheros ar9271 chipsetreturning as its not compatible but if you are getting this only for windows and mac , you are good works perfect with windows",2
B008IFXQFU,Joshua Prince,1,Useless for Linux people.,Reviewed in India on 2 October 2017,It didnt work with kali linux. The chipset which suppprts monitor mode is not available in version 2. i ordered  for version 1 but received version 2 which is completely useless for Linux. The website dont provide much information.,0
B008IFXQFU,Malcolm,1,Dont waste you're money,Reviewed in India on 18 December 2018,This product is really horrible..dont even waste your money...my pc is 2 meters away from the wifi router yet i dont get full range...  The most frustrating part is it has major driver issues..the driver cd they provided by them is way worse than the drivers available on Windows 10..it messes with the already included windows 10 drivers and ruins stability if you even try to use another wifi usb adapter..  Worse part is it loses net connection every 2 minutes and you have to switch on airplane mode and off it to reset the connection...and after all this i couldn't return it because it was only replaceable not refundable..BUY AT YOU'RE OWN RISK!!!,0
B008IFXQFU,Amazon Customer,5,Bought for Honda City Digipad and it works!!,Reviewed in India on 16 March 2019,Works with Honda City 2017 Digipad infotainment system. Just plug into the USB port and thr digipad will automatically start searching for nearby wifi networks.,1
B008IFXQFU,ichen,1,Range is too low,Reviewed in India on 27 September 2018,"I bought this to connect my office desktop to the WiFi network. Unfortunately, it can catch the signal only when others are not using such as early morning before my colleagues come or late night. My laptop can perfectly catch the signal at the same position but not this WiFi receiver. It can recieve from my Mobile hotspot. But whats the point? Some reviewers said it is better than the laptop WiFi. It is NOT the case with me. Uselessly lying since the pass three months after having tried in many ways. NOT recomended.",0
B008IFXQFU,Buyer's Remorse,2,WARNING --- AWFUL Driver support from TP-Link,Reviewed in India on 15 August 2019,"Bought this back in 2018 expecting better driver support from TP-Link compared to Netgear. I was wrong.=====-PROS=====- It works. You can just plug it in and Windows 10 will install a driver for it,  you won't even have to install the one from their site. Isn't that amazing folks?=====-CONS=====- NO, no it isn't amazing. First of all, everyone (who knows how to use a PC) knows that Windows 10 installs obsolete or broken drivers for any hardware. So for this TP-Link, it installs some ancient driver that doesn't have the ""Wireless Adapter Properties > Advanced > Wi-Fi Config > Performance/WiFi"" section. Which means, the adapter runs at low signal quality no matter how far your Router is. So the only way to get maximum signal is to install official drivers from TP-Link site. Which brings me to..- BROKEN DRIVERS on Windows 10. Seriously, they were last updated in 2018 and Windows 10 keeps breaking them especially on every Windows update (like W10 does for some old hardware). You'd think that a company like TP-Link would fix this issue, but then you'd be wrong.So basically, now I have to repair the drivers every few restarts or whenever Microsoft decides to break them again. This is fun... like ""face-planting on a gravel road"" fun.",0
B008IFXQFU,ravisankar,4,GOOD PRODUCT,Reviewed in India on 20 September 2018,THE WIFI ADAPTER IS GOOD ONE. IT WORTH VALUE OF MONEY AND WORK PERFECTLY. IT AUTOMATICALLY CONNECT TO WIFI WITHOUT ANY PROBLEM AND ALSO USE TO SHARE FILES FROM U R MOBILE USING SHARE IT OR XENDER . THE ONLY PROBLEM IS THAT IT PACKAGING ONE SIDE OF THAT PRODUCT COVER IS DAMAGE IN TRANSIT. OTHERWISE IT DO NOT HAVE ANY PROBLEMS SO FAR. DAMAGE SIDE PIC I ADD WITH MY REVIEW,1
B008IFXQFU,Nitin,4,"Good for beginners; linux users, probably not",Reviewed in India on 6 July 2018,Pros:Compact designEasy plug and playIncreases connectivity speedGood coverage supportCons:No linux support since v2 model (till date)Won't be much of use to pen testersOverall a good product to buy. Kudos to Amazon's high speed delivery. Received the product within 24 hrs.,1
